 #,2022 GTMI Indicators & Sub-indicators NL,Response options & Data format NL,Operationalisatie,Prompt
10.4,Type software van het salarissysteem,"0= Onbekend, 1= Maatwerk Software, 2= Commerciële/COTS Software, 3= Hybride (Maatwerk + COTS)","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Maatwerk Software, 2= Commerciële/COTS Software, 3= Hybride (Maatwerk + COTS)  

VRAAG: Is er een salarissysteem gekoppeld aan het Human Resources Management Informatiesysteem (HRMIS)?, indien ja, wat is de Type software van het salarissysteem ? 

ANTWOORD: 0= Onbekend, 1= Maatwerk Software, 2= Commerciële/COTS Software, 3= Hybride (Maatwerk + COTS)  ","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Maatwerk Software, 2= Commerciële/COTS Software, 3= Hybride (Maatwerk + COTS)  

VRAAG: Is er een salarissysteem gekoppeld aan het Human Resources Management Informatiesysteem (HRMIS)?, indien ja, wat is de Type software van het salarissysteem ? 

ANTWOORD:"
10.5,Topologie van het salarissysteem,"0= Onbekend, 1= Niet verbonden, 2= Gedistribueerd, 3= Verbonden, 4= Gedeeld","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Niet verbonden, 2= Gedistribueerd, 3= Verbonden, 4= Gedeeld  

VRAAG: Is er een salarissysteem gekoppeld aan het Human Resources Management Informatiesysteem (HRMIS)?, indien ja, wat is de Topologie van het salarissysteem ? 

ANTWOORD: 0= Onbekend, 1= Niet verbonden, 2= Gedistribueerd, 3= Verbonden, 4= Gedeeld ","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Niet verbonden, 2= Gedistribueerd, 3= Verbonden, 4= Gedeeld  

VRAAG: Is er een salarissysteem gekoppeld aan het Human Resources Management Informatiesysteem (HRMIS)?, indien ja, wat is de Topologie van het salarissysteem ? 

ANTWOORD:"
10.6,"Beheer van de operaties van het salarissysteem (registers, beveiliging, audit trails, etc.)?","0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een salarissysteem gekoppeld aan het Human Resources Management Informatiesysteem (HRMIS)?, indien ja, wat is de Beheer van de operaties van het salarissysteem (registers, beveiliging, audit trails, etc.)? ? 

ANTWOORD: 
0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)  
VRAAG: Is er een salarissysteem gekoppeld aan het Human Resources Management Informatiesysteem (HRMIS)?, indien ja, wat is de Beheer van de operaties van het salarissysteem (registers, beveiliging, audit trails, etc.)?. 
","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een salarissysteem gekoppeld aan het Human Resources Management Informatiesysteem (HRMIS)?, indien ja, wat is de Beheer van de operaties van het salarissysteem (registers, beveiliging, audit trails, etc.)? ? 

ANTWOORD:"
10.6.1,Zo ja > Ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant rapport toe,"Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een salarissysteem gekoppeld aan het Human Resources Management Informatiesysteem (HRMIS)?, indien ja, wat is de Zo ja > Ondersteunend document (rapport / URL) ? 

ANTWOORD: [Zo ja > Ondersteunend document (rapport / URL)] 
","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een salarissysteem gekoppeld aan het Human Resources Management Informatiesysteem (HRMIS)?, indien ja, wat is de Zo ja > Ondersteunend document (rapport / URL) ? 

ANTWOORD:"
11,Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?,"0= Nee, 1= Implementatie in uitvoering, 2= Ja (in gebruik)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Implementatie in uitvoering, 2= Ja (in gebruik)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt? ? 

ANTWOORD: 0= Nee, 1= Implementatie in uitvoering, 2= Ja (in gebruik) ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Implementatie in uitvoering, 2= Ja (in gebruik)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt? ? 

ANTWOORD:"
11.1,Officiële naam van de belangrijkste publieke entiteit die SI / pensioenprogramma('s) beheert,Tekst,"Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Officiële naam van de belangrijkste publieke entiteit die SI / pensioenprogramma('s) beheert ? 

ANTWOORD: Social Security Commission of Canada (SSC) ","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Officiële naam van de belangrijkste publieke entiteit die SI / pensioenprogramma('s) beheert ? 

ANTWOORD:"
11.2,URL van de startpagina van de belangrijkste SI / pensioen organisatie,URL,"Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de URL van de startpagina van de belangrijkste SI / pensioen organisatie ? 

ANTWOORD: 
Het sociaalverzekeringsstelsel van Nederland is de basis voor de sociale zekerheid in Nederland. De sociale verzekeringen in Nederland bestaan uit: de Algemene Ouderdomswet (AOW); de Algemene nabestaandenwet (ANW); de Wet langdurige zorg (Wlz); de Ziektewet (ZW); de Wet werk en inkomen naar arbeidsvermogen (WIA); de Wet werk en inkomen kunstena","Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de URL van de startpagina van de belangrijkste SI / pensioen organisatie ? 

ANTWOORD:"
11.3,De belangrijkste SI / pensioen organisatie is opgericht / zal worden opgericht in (jaar),YYYY,"Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de De belangrijkste SI / pensioen organisatie is opgericht / zal worden opgericht in (jaar) ? 

ANTWOORD: In Nederland is er een sociaalverzekeringsstelsel dat pensioenen en andere sociale verzekeringsprogramma's (sociale zekerheidsprogramma's - SI) biedt. De belangrijkste SI / pensioen organisatie is opgericht / zal worden opgericht in (jaar). ","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de De belangrijkste SI / pensioen organisatie is opgericht / zal worden opgericht in (jaar) ? 

ANTWOORD:"
11.4,Naam van de primaire SI / pensioensysteem (MIS)-oplossing,Tekst,"Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Naam van de primaire SI / pensioensysteem (MIS)-oplossing ? 

ANTWOORD: Nee ","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Naam van de primaire SI / pensioensysteem (MIS)-oplossing ? 

ANTWOORD:"
11.5,URL van het primaire SI / pensioen MIS-platform,URL,"Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de URL van het primaire SI / pensioen MIS-platform ? 

ANTWOORD: Ja, er is een sociaalverzekeringsstelsel dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma’s (SI) biedt. 
URL van het primaire SI / pensioen MIS-platform : 
https://www.svb.nl/mijn-svb/mijn-svb-pensioenoverzicht/ ","Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de URL van het primaire SI / pensioen MIS-platform ? 

ANTWOORD:"
11.6,Het primaire SI / pensioen MIS is gelanceerd / zal worden gelanceerd in (jaar),YYYY,"Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Het primaire SI / pensioen MIS is gelanceerd / zal worden gelanceerd in (jaar) ? 

ANTWOORD: Er is een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt. Het primaire SI / pensioen MIS is gelanceerd / zal worden gelanceerd in (jaar) ? 
MIS is gelanceerd / zal worden gelanceerd in (jaar). 
 MIS is gelanceerd / zal worden gelanceerd in (jaar). ","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Het primaire SI / pensioen MIS is gelanceerd / zal worden gelanceerd in (jaar) ? 

ANTWOORD:"
11.7,Status van het publieke sector SI / pensioen MIS-platform,"0= Onbekend, 1= Aparte Sociale Verzekering / Pensioen MIS voor overheidsmedewerkers, 2= Primair pensioen MIS wordt ook gebruikt voor overheidsmedewerkers","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Aparte Sociale Verzekering / Pensioen MIS voor overheidsmedewerkers, 2= Primair pensioen MIS wordt ook gebruikt voor overheidsmedewerkers  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Status van het publieke sector SI / pensioen MIS-platform ? 

ANTWOORD: 1= Aparte Sociale Verzekering / Pensioen MIS voor overheidsmedewerkers 
2= Primair pensioen MIS wordt ook gebruikt voor overheidsmedewerkers 
3= Geen aparte sociale verzekering / pensioen, alleen SI's voor gezondheid 
4= Geen sociaalverzekeringsstelsel (niet-gezondheid) 
5= Andere, namelijk: [Andere] ","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Aparte Sociale Verzekering / Pensioen MIS voor overheidsmedewerkers, 2= Primair pensioen MIS wordt ook gebruikt voor overheidsmedewerkers  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Status van het publieke sector SI / pensioen MIS-platform ? 

ANTWOORD:"
11.8,Type van het primaire SI / pensioen MIS-platform,"0= Onbekend, 1= Maatwerk Software, 2= Commerciële/COTS Software, 3= Hybride (Maatwerk + COTS)","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Maatwerk Software, 2= Commerciële/COTS Software, 3= Hybride (Maatwerk + COTS)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Type van het primaire SI / pensioen MIS-platform ? 

ANTWOORD: Ja, er is een sociaalverzekeringsstelsel dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt. Primaire SI / pensioen MIS-platform is een Maatwerk Software. ","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Maatwerk Software, 2= Commerciële/COTS Software, 3= Hybride (Maatwerk + COTS)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Type van het primaire SI / pensioen MIS-platform ? 

ANTWOORD:"
11.9,Wisselt het primaire SI / pensioen MIS gegevens uit met andere systemen?,"0= Nee, 1= Ja (via verschillende interfaces) 2= Yes (via Government Service Bus)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (via verschillende interfaces) 2= Yes (via Government Service Bus)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Wisselt het primaire SI / pensioen MIS gegevens uit met andere systemen? ? 

ANTWOORD: Nee, er is geen sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt. MIS gegevens worden niet uitgewisseld met andere systemen. ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (via verschillende interfaces) 2= Yes (via Government Service Bus)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Wisselt het primaire SI / pensioen MIS gegevens uit met andere systemen? ? 

ANTWOORD:"
11.10,Gebruikt het primaire SI / pensioen MIS het nationale ID als primaire of secundaire identificatie?,"0= Nee, 1= Ja","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Gebruikt het primaire SI / pensioen MIS het nationale ID als primaire of secundaire identificatie? ? 

ANTWOORD: 
Ja, er is een sociaalverzekeringsstelsel dat pensioenen (inclusief publieke sector) en andere sociaalverzekeringsprogramma's (SI) biedt. 
Beschrijving van de vraag. 
 Dit is een vraag uit het ‘Data-format’ voor de 16e editie van de ESR-enquête. Deze vraag gaat over het verplichte pensioenstelsel van een land. 
Antwoord volgens het data-","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Gebruikt het primaire SI / pensioen MIS het nationale ID als primaire of secundaire identificatie? ? 

ANTWOORD:"
11.11,Zijn alle SI / pensioen begunstigdenrecords volledig gedigitaliseerd?,"0= No, 1= Gedeeltelijk gedigitaliseerd, 2= Volledig gedigitaliseerd","Antwoord volgens het data-format. DATA FORMAT: 0= No, 1= Gedeeltelijk gedigitaliseerd, 2= Volledig gedigitaliseerd  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Zijn alle SI / pensioen begunstigdenrecords volledig gedigitaliseerd? ? 

ANTWOORD: Ja, er is een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma’s (SI) biedt. Zijn alle SI / pensioen begunstigdenrecords volledig gedigitaliseerd? 
0= No, 1= Gedeeltelijk gedigitaliseerd, 2= Volledig gedigitaliseerd  ","Antwoord volgens het data-format. DATA FORMAT: 0= No, 1= Gedeeltelijk gedigitaliseerd, 2= Volledig gedigitaliseerd  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Zijn alle SI / pensioen begunstigdenrecords volledig gedigitaliseerd? ? 

ANTWOORD:"
11.12,Aandeel van alle SI / pensioen uitbetalingen digitaal gestort op individuele bankrekeningen van begunstigden (percentage),Tekst (% van betaling of Onbekend),"Antwoord volgens het data-format. DATA FORMAT: Tekst (% van betaling of Onbekend)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Aandeel van alle SI / pensioen uitbetalingen digitaal gestort op individuele bankrekeningen van begunstigden (percentage) ? 

ANTWOORD: Tekst (% van betaling of Onbekend) 
 
VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Aandeel van alle SI / pensioen uitbetalingen digitaal gestort op individuele bankrekeningen van begunstigden (percentage) ?. 
 ANTWOORD:","Antwoord volgens het data-format. DATA FORMAT: Tekst (% van betaling of Onbekend)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Aandeel van alle SI / pensioen uitbetalingen digitaal gestort op individuele bankrekeningen van begunstigden (percentage) ? 

ANTWOORD:"
11.13,Zijn alle actieve verzekeringen van publieke werknemers volledig gedigitaliseerd?,"0= No, 1= Gedeeltelijk gedigitaliseerd, 2= Volledig gedigitaliseerd","Antwoord volgens het data-format. DATA FORMAT: 0= No, 1= Gedeeltelijk gedigitaliseerd, 2= Volledig gedigitaliseerd  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Zijn alle actieve verzekeringen van publieke werknemers volledig gedigitaliseerd? ? 

ANTWOORD: Ja, er is een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt. 
VRAAG: Zijn alle actieve verzekeringen van publieke werknemers volledig gedigitaliseerd? ? 

ANTWOORD: Ja, alle actieve verzekeringen van publieke werknemers zijn volledig gedigitaliseerd. ","Antwoord volgens het data-format. DATA FORMAT: 0= No, 1= Gedeeltelijk gedigitaliseerd, 2= Volledig gedigitaliseerd  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Zijn alle actieve verzekeringen van publieke werknemers volledig gedigitaliseerd? ? 

ANTWOORD:"
11.13.1,Indien alle actieve verzekeringen van publieke werknemers volledig gedigitaliseerd > In welk jaar werd digitalisering ingevoerd voor de bijdrageregisters? (jaar),YYYY,"Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Indien alle actieve verzekeringen van publieke werknemers volledig gedigitaliseerd > In welk jaar werd digitalisering ingevoerd voor de bijdrageregisters? (jaar) ? 

ANTWOORD: Ja, er is een sociaalverzekeringsstelsel dat pensioenen en andere sociaalverzekeringsprogramma's (SI) biedt. 
In welk jaar werd digitalisering ingevoerd voor de bijdrageregisters? (jaar)?. 
 VRAAG: In welk jaar werd digitalisering ingevoerd voor de bijdrageregisters? (jaar) ? 
ANTWOORD: In 2025 werd digitalisering ingevoerd voor de bijdrageregisters. ","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Indien alle actieve verzekeringen van publieke werknemers volledig gedigitaliseerd > In welk jaar werd digitalisering ingevoerd voor de bijdrageregisters? (jaar) ? 

ANTWOORD:"
11.14,Kan een bijdrage rapport en betaling online ingediend worden?,"0= Nee, 1= Ja","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Kan een bijdrage rapport en betaling online ingediend worden? ? 

ANTWOORD: Ja, er is een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt. 
Kan een bijdrage rapport en betaling online ingediend worden?. 
 VRAAG: Kan een bijdrage rapport en betaling online ingediend worden? ? 
ANTWOORD: Ja, een bijdrage rapport en betaling kunnen online ingediend worden. ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Kan een bijdrage rapport en betaling online ingediend worden? ? 

ANTWOORD:"
11.15,"Beheer van SI / pensioen MIS-operaties (registers, beveiliging, audit trails, etc.)?","0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Beheer van SI / pensioen MIS-operaties (registers, beveiliging, audit trails, etc.)? ? 

ANTWOORD: Zie tabel 1. 
 Tabel 1: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Beheer van SI / pensioen MIS-operaties (registers, beveiliging, audit trails, etc.)? 
0= Nee, 1= Ja (intern, niet gepubliceerd),  2=","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Ja (intern, niet gepubliceerd),  2= Ja (publiek, gepubliceerd)  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Beheer van SI / pensioen MIS-operaties (registers, beveiliging, audit trails, etc.)? ? 

ANTWOORD:"
11.15.1,Zo ja > Ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant rapport toe,"Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Zo ja > Ondersteunend document (rapport / URL) ? 

ANTWOORD: Ondersteunend document (rapport / URL) 
Zoekopdracht op internet: Sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt. 
Zoekopdracht op internet: Sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant rapport toe  

VRAAG: Is er een sociaalverzekeringsstelsel (niet-gezondheid) dat pensioenen (inclusief publieke sector) en andere sociaalverzekerings-programma's (SI) biedt?, indien ja, wat is de Zo ja > Ondersteunend document (rapport / URL) ? 

ANTWOORD:"
12,Is er een online aanbestedings portaal?,"0= Nee, 1= Implementatie in uitvoering, 2= Ja (in gebruik)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Implementatie in uitvoering, 2= Ja (in gebruik)  

VRAAG: Is er een online aanbestedings portaal? ? 

ANTWOORD: 
0= Nee, 1= Implementatie in uitvoering, 2= Ja (in gebruik)  ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Implementatie in uitvoering, 2= Ja (in gebruik)  

VRAAG: Is er een online aanbestedings portaal? ? 

ANTWOORD:"
12.1,Naam van het online Aanbestedingsportaal,Tekst,"Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de Naam van het online Aanbestedingsportaal ? 

ANTWOORD: 
Er is geen online aanbestedingsportaal. 
VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de Naam van het online Aanbestedingsportaal ?. 

ANTWOORD: 
Er is geen online aanbestedingsportaal. ","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de Naam van het online Aanbestedingsportaal ? 

ANTWOORD:"
12.2,URL van het online Aanbestedingsportaal,URL,"Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de URL van het online Aanbestedingsportaal ? 

ANTWOORD: Ja, het online Aanbestedingsportaal is te vinden op: [https://www.tenderned.nl/](https://www.tenderned.nl/) 
VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de URL van het online Aanbestedingsportaal ?. 

ANTWOORD: Ja, het online Aanbestedingsportaal is te vinden op: [https://www.tenderned.nl/](https://www.tenderned.nl/) ","Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de URL van het online Aanbestedingsportaal ? 

ANTWOORD:"
12.3,Het online Aanbestedingsportaal is gelanceerd / zal worden gelanceerd in (jaar),YYYY,"Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de Het online Aanbestedingsportaal is gelanceerd / zal worden gelanceerd in (jaar) ? 

ANTWOORD: Er is geen online aanbestedings portaal. ","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de Het online Aanbestedingsportaal is gelanceerd / zal worden gelanceerd in (jaar) ? 

ANTWOORD:"
12.4,Mogelijkheden van het online Aanbestedingsportaal,"0= Onbekend, 1= Aankondigingen van aanbestedingen + Contracten, 2= Online Aanbestedingen + Contracten, 3= Online Aanbestedingen + Contracten + Koppelingen met andere systemen","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Aankondigingen van aanbestedingen + Contracten, 2= Online Aanbestedingen + Contracten, 3= Online Aanbestedingen + Contracten + Koppelingen met andere systemen  

VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de Mogelijkheden van het online Aanbestedingsportaal ? 

ANTWOORD: Het online Aanbestedingsportaal is een portaal met actuele informatie over aanbestedingen van de overheid. Het is een verzamelplek voor informatie over aanbestedingen van de Rijksoverheid, provincies, gemeenten, waterschappen en publieke zorginstellingen. Het portaal is voor bedrijven en instellingen die zaken doen met de overheid. Het online Aanbestedingsportaal is een verzamelplek voor informatie over aanbestedingen van de Rijk","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Aankondigingen van aanbestedingen + Contracten, 2= Online Aanbestedingen + Contracten, 3= Online Aanbestedingen + Contracten + Koppelingen met andere systemen  

VRAAG: Is er een online aanbestedings portaal?, indien ja, wat is de Mogelijkheden van het online Aanbestedingsportaal ? 

ANTWOORD:"
